Kreis;Alter;Auslaenderanteil;Arbeitslosenrate;Bip;Miete;BevEntw
Weiden i.d.OPf., Stadt;44,8;8,3;6,6;51300;5,90;-2,0
Schleswig-Flensburg;44,8;4,0;6,2;23600;5,82;0,0
Rhein-Hunsrück-Kreis;44,8;6,0;4,2;30200;4,88;-2,9
Bernkastel-Wittlich;44,8;7,8;3,7;29000;5,44;-2,4
Rendsburg-Eckernförde;44,8;3,8;4,9;26600;6,21;+0,1
Wittmund;44,8;4,6;6,6;21700;5,71;+0,1
Zweibrücken, Stadt;44,8;7,8;7,1;39800;4,90;-4,6
Rheingau-Taunus-Kreis;44,8;10,5;4,4;23400;7,77;+0,5
Osterholz;44,8;5,8;3,8;17800;6,17;+3,1
Bottrop, Stadt;44,7;9,7;7,6;20000;5,99;-3,2
Magdeburg, Stadt;44,7;6,3;10,5;31900;5,58;+2,6
Steinburg;44,7;5,4;6,3;30800;5,64;-2,7
Stormarn;44,7;5,8;3,6;30300;8,67;+10,1
Unna;44,6;9,0;8,4;28400;5,53;-6,7
Salzgitter, Stadt;44,6;12,7;10,5;48700;5,10;-8,7
Bayreuth;44,6;3,2;3,3;18800;5,45;-4,2
Regen;44,6;4,5;4,2;27500;4,68;-5,8
Nürnberger Land;44,6;7,6;2,7;29000;7,13;+0,4
Berchtesgadener Land;44,6;14,4;4,1;28300;7,86;+5,0
Bergstraße;44,5;11,6;3,8;28900;7,26;+1,5
Remscheid, Stadt;44,5;15,7;8,7;34500;5,57;-8,4
Viersen;44,5;8,8;6,8;26400;6,45;-0,4
Diepholz;44,5;6,5;4,3;26600;6,21;+2,2
Celle;44,5;6,4;7,2;26800;5,81;-1,7
Speyer, Stadt;44,5;12,9;6,1;48800;7,85;+1,4
Nienburg (Weser);44,5;6,0;5,5;27800;5,11;-3,9
Lübeck, Stadt;44,4;8,5;9,1;37400;7,47;+1,3
Kaufbeuren, Stadt;44,4;12,9;5,6;32300;6,48;+2,3
Herzogtum Lauenburg;44,4;6,2;5,7;20400;6,99;+7,3
Neuwied;44,4;8,0;5,7;28500;5,88;-2,0
Mayen-Koblenz;44,4;6,3;3,9;28700;5,88;+0,4
Rostock, Stadt;44,4;4,4;9,8;34900;5,82;+3,4
Freyung-Grafenau;44,4;3,8;3,4;25800;4,52;-4,6
Oberallgäu;44,3;7,8;2,8;27900;7,20;+4,0
Herne, Stadt;44,3;14,4;12,8;22500;5,42;-8,2
Oberhausen, Stadt;44,3;13,1;11,1;27700;5,57;-4,6
Main-Tauber-Kreis;44,3;7,6;3,2;33900;5,95;-2,6
Rhön-Grabfeld;44,3;3,7;3,1;33200;5,31;-7,0
Hochtaunuskreis;44,3;14,4;3,6;43000;9,87;+3,8
Pinneberg;44,3;8,4;5,2;26200;8,29;+6,9
Donnersbergkreis;44,3;6,8;5,2;25000;5,42;-4,2
Traunstein;44,3;8,5;3,0;35800;7,69;+4,5
Altenkirchen (Westerwald);44,2;6,5;5,0;24500;5,02;-5,6
Bochum, Stadt;44,2;10,8;10,1;32300;6,12;-5,4
Ammerland;44,2;4,5;4,3;25000;6,83;+10,2
Harburg;44,2;6,4;4,3;21100;8,23;+8,6
Hagen, Stadt;44,2;15,9;11,1;32800;5,13;-6,9
Kaiserslautern;44,2;7,0;5,5;19800;5,77;-4,8
Miesbach;44,2;11,3;2,8;30500;10,12;+8,4
Lindau (Bodensee);44,2;12,0;2,7;33800;7,99;+5,3
Hochsauerlandkreis;44,2;8,0;4,7;32500;4,93;-6,4
Krefeld, Stadt;44,2;13,7;10,7;37000;6,38;-3,6
Märkischer Kreis;44,2;11,9;6,6;34300;5,19;-8,4
Passau;44,2;6,0;3,6;27500;6,03;+1,8
